"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"JohnnyBach","BOS","17","F","6-2","180 lbs","Fordham","USA","76080"
"DwayneBacon","CHA","8","G-F","6-6","221 lbs","Florida State","USA","1628407"
"JimBaechtold","NYK","10","F","6-4","205 lbs","Eastern Kentucky","USA","76081"
"DaliborBagaric","CHI","11","C","7-1","290 lbs","Benston Zagreb","Croatia","2053"
"JohnBagley","CLE","5","G","6-0","185 lbs","Boston College","USA","76082"
"MarvinBagley III","DET","35","F","6-11","235 lbs","Duke","USA","1628963"
"CarlBailey","POR","21","C","7-0","210 lbs","Tuskegee","USA","76084"
"GusBailey","HOU","20","G","6-5","185 lbs","Texas-El Paso","USA","76083"
"JamesBailey","OKC","2","F","6-9","220 lbs","Rutgers","USA","76085"
"ThurlBailey","UTA","41","F","6-11","247 lbs","North Carolina State","USA","1847"
"TobyBailey","PHX","11","G","6-6","213 lbs","UCLA","USA","1753"
"CameronBairstow","CHI","41","F-C","6-9","250 lbs","New Mexico","Australia","203946"
"MarkBaker","TOR","3","G","6-1","175 lbs","Ohio State","USA","1858"
"MauriceBaker","POR","12","G","6-1","185 lbs","Oklahoma State","USA","2486"
"NormBaker","CHS","","G","6-0","180 lbs","Victoria","Canada","76089"
"RonBaker","NYK","31","G","6-4","220 lbs","Wichita State","USA","1627758"
"VinBaker","OKC","34","F","6-11","240 lbs","Hartford","USA","452"
"WadeBaldwin IV","MEM","2","G","6-4","202 lbs","Vanderbilt","USA","1627735"
"PatrickBaldwin Jr.","GSW","7","F","6-9","220 lbs","Wisconsin-Milwaukee","USA","1631116"
"RenaldoBalkman","NYK","32","F","6-8","208 lbs","South Carolina","USA","200764"
"CedricBall","LAC","44","F","6-8","210 lbs","North Carolina-Charlotte","USA","76090"
"LaMeloBall","CHA","2","G","6-7","180 lbs","Illawarra","USA","1630163"
"LonzoBall","CHI","2","G","6-6","190 lbs","UCLA","USA","1628366"
"GregBallard","WAS","42","F","6-7","215 lbs","Oregon","USA","76091"
"HerschelBaltimore","BOM","","F","6-4","195 lbs","Penn State","USA","76092"
"MoBamba","ORL","5","C","7-0","231 lbs","Texas-Austin","USA","1628964"
"PaoloBanchero","ORL","5","F","6-10","250 lbs","Duke","USA","1631094"
"DesmondBane","MEM","22","G","6-5","215 lbs","TCU","USA","1630217"
"GeneBanks","SAS","20","F","6-7","215 lbs","Duke","USA","76093"
"MarcusBanks","BOS","15","G","6-2","205 lbs","UNLV","USA","2556"
"KenBannister","NYK","51","F","6-9","235 lbs","St. Augustine's","USA","76094"
"MikeBantom","IND","42","F","6-9","200 lbs","St. Joseph's (PA)","USA","76095"
"DalanoBanton","TOR","45","F","6-7","204 lbs","Nebraska","Canada","1630625"
"CatBarber","ATL","5","G","6-1","173 lbs","North Carolina State","USA","1627760"
"JohnBarber","ATL","25","F","6-6","210 lbs","California State-Los Angeles","USA","76096"
"LeandroBarbosa","PHX","19","G","6-3","194 lbs","","Brazil","2571"
"StephenBardo","DAL","25","G","6-5","190 lbs","Illinois","USA","76097"
"J.J.Barea","DAL","5","G","5-10","180 lbs","Northeastern","Puerto Rico","200826"
"AndreaBargnani","TOR","77","C-F","7-0","245 lbs","Benetton Treviso","Italy","200745"
"CliffBarker","INO","","G","6-2","185 lbs","Kentucky","USA","76098"
"TomBarker","ATL","6","C","6-11","225 lbs","Hawaii","USA","76099"
"CharlesBarkley","PHI","34","F","6-6","252 lbs","Auburn","USA","787"
"ErickBarkley","POR","1","G","6-1","185 lbs","St. John's","USA","2057"
"DonBarksdale","BOS","17","F","6-6","200 lbs","UCLA","USA","76102"
"DominickBarlow","SAS","","F","6-9","215 lbs","","USA","1631230"
"HarrisonBarnes","SAC","40","F","6-8","225 lbs","North Carolina","USA","203084"
"HarryBarnes","HOU","30","F","6-3","205 lbs","Northeastern","USA","76103"
