"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"AcieLaw","ATL","2","G","6-3","202 lbs","Texas A&M","USA","201151"
"VicLaw","ORL","23","F","6-7","201 lbs","Northwestern","USA","1629724"
"GaniLawal","PHX","31","F","6-9","234 lbs","Georgia Tech","USA","202371"
"EdLawrence","DET","","C","6-11","228 lbs","McNeese State","USA","77348"
"A.J.Lawson","MIN","5","G","6-6","179 lbs","South Carolina","Canada","1630639"
"JasonLawson","ORL","55","C","6-11","240 lbs","Villanova","USA","1535"
"TyLawson","DEN","4","G","5-11","195 lbs","North Carolina","USA","201951"
"JakeLayman","MIN","10","F","6-8","209 lbs","Maryland","USA","1627774"
"DennisLayton","PHX","1","G","6-1","180 lbs","Southern California","USA","77350"
"CarisLeVert","CLE","3","G","6-6","205 lbs","Michigan","USA","1627747"
"T.J.Leaf","IND","18","F","6-10","222 lbs","UCLA","USA","1628388"
"EmanuelLeaks","PHI","24","C","6-8","225 lbs","Niagara","USA","77351"
"HalLear","GSW","16","G","5-11","163 lbs","Temple","USA","77352"
"AllenLeavell","HOU","30","G","6-1","170 lbs","Oklahoma City","USA","77353"
"JeffLebo","SAS","12","F","6-2","180 lbs","North Carolina","USA","77354"
"EricLeckner","UTA","55","C","6-11","265 lbs","Wyoming","USA","287"
"JalenLecque","PHX","0","G","6-4","185 lbs","","USA","1629665"
"RickyLedo","DAL","11","G","6-7","195 lbs","Providence","USA","203495"
"ButchLee","ATL","15","G","6-0","185 lbs","Marquette","USA","77356"
"ClydeLee","GSW","34","F","6-10","205 lbs","Vanderbilt","USA","77357"
"CourtneyLee","MEM","1","G","6-5","215 lbs","Western Kentucky","USA","201584"
"DamionLee","PHX","1","G-F","6-5","210 lbs","Drexel","USA","1627814"
"DavidLee","NYK","10","F-C","6-9","245 lbs","Florida","USA","101135"
"DougLee","BKN","20","G","6-5","200 lbs","Purdue","USA","77358"
"GeorgeLee","DET","9","F","6-4","200 lbs","Michigan","USA","77359"
"GregLee","POR","42","G","6-3","190 lbs","UCLA","USA","77360"
"KeithLee","CLE","24","F","6-10","215 lbs","Memphis","USA","77361"
"KurkLee","BKN","20","G","6-3","190 lbs","Towson","USA","77362"
"MalcolmLee","MIN","8","G","6-5","200 lbs","UCLA","USA","202723"
"RockLee","LAC","34","C","6-10","220 lbs","San Diego State","USA","77363"
"RonLee","PHX","30","G","6-3","193 lbs","Oregon","USA","77364"
"RussellLee","MIL","11","F","6-5","185 lbs","Marshall","USA","77365"
"SabenLee","DET","38","G","6-2","183 lbs","Vanderbilt","USA","1630240"
"EdLeede","BOS","5","G","6-3","185 lbs","Dartmouth","USA","77366"
"HankLefkowitz","CLR","","F","6-2","190 lbs","Case Western Reserve","USA","77367"
"TimLegler","WAS","23","G","6-4","220 lbs","La Salle","USA","100"
"GeorgeLehmann","ATL","20","G","6-0","180 lbs","Campbell","USA","77369"
"WaltLemon Jr.","CHI","25","G","6-3","180 lbs","Bradley","USA","1627215"
"AlexLen","SAC","25","C","7-0","250 lbs","Maryland","Ukraine","203458"
"VoshonLenard","MIA","0","G","6-4","215 lbs","Minnesota","USA","702"
"BobLeonard","LAL","21","G","6-3","185 lbs","Indiana","USA","77371"
"GaryLeonard","MIN","34","C","7-1","250 lbs","Missouri","USA","77370"
"KawhiLeonard","LAC","2","F","6-7","225 lbs","San Diego State","USA","202695"
"MeyersLeonard","POR","0","F-C","7-0","260 lbs","Illinois","USA","203086"
"JimLes","SAC","14","G","5-11","165 lbs","Bradley","USA","77372"
"TravisLeslie","LAC","23","G","6-4","205 lbs","Georgia","USA","202727"
"RonnieLester","CHI","12","G","6-2","175 lbs","Iowa","USA","77373"
"CliffordLett","SAS","11","G","6-3","170 lbs","Florida","USA","77374"
"JonLeuer","MEM","30","F","6-10","228 lbs","Wisconsin","USA","202720"
"AndrewLevane","PHI","3","F","6-2","190 lbs","St. John's","USA","77375"
"LafayetteLever","DEN","21","G","6-3","170 lbs","Arizona State","USA","77376"
"CliffLevingston","ATL","53","F","6-8","210 lbs","Wichita State","USA","77377"
"BobbyLewis","GSW","5","G","6-3","175 lbs","North Carolina","USA","77385"
"CedricLewis","WAS","42","F","6-10","235 lbs","Maryland","USA","736"
"FredLewis","BAL","","F","6-2","195 lbs","Eastern Kentucky","USA","77379"
"FreddieLewis","IND","1","G","6-0","175 lbs","Arizona State","USA","77380"
"GradyLewis","DEF","","F","6-7","215 lbs","Oklahoma","USA","77381"
"JustinLewis","CHI","","F","6-7","245 lbs","Marquette","USA","1631171"
"MartinLewis","TOR","32","F","6-6","225 lbs","Seward County CC","USA","729"
"QuincyLewis","UTA","20","G-F","6-7","215 lbs","Minnesota","USA","1900"
"RalphLewis","DET","11","G","6-6","200 lbs","La Salle","USA","77383"
"RashardLewis","OKC","9","F","6-10","235 lbs","Elsik HS (TX)","USA","1740"
"ReggieLewis","BOS","35","G","6-7","195 lbs","Northeastern","USA","77384"
"ScottieLewis","CHA","16","G","6-5","185 lbs","Florida","USA","1630575"
"KiraLewis Jr.","NOP","13","G","6-1","170 lbs","Alabama","USA","1630184"
"MarcusLiberty","DEN","30","F","6-8","205 lbs","Illinois","USA","77386"
"ToddLichti","DEN","30","G","6-4","205 lbs","Stanford","USA","77387"
"E.J.Liddell","NOP","","F","6-7","240 lbs","Ohio State","USA","1630604"
"DeAndreLiggins","CLE","34","G","6-6","209 lbs","Kentucky","USA","202732"
"BillLigon","DET","26","G","6-4","180 lbs","Vanderbilt","USA","77388"
"DamianLillard","POR","0","G","6-2","195 lbs","Weber State","USA","203081"
"JeremyLin","HOU","17","G","6-3","200 lbs","Harvard","USA","202391"
"SteveLingenfelter","WAS","25","F","6-9","225 lbs","South Dakota State","USA","77389"
"AltonLister","MIL","53","C-F","7-0","245 lbs","Arizona State","USA","175"
"NassirLittle","POR","10","F-G","6-5","220 lbs","North Carolina","USA","1629642"
"IsaiahLivers","DET","12","F","6-6","232 lbs","Michigan","USA","1630587"
"RandyLivingston","PHX","14","G","6-4","209 lbs","Louisiana State","USA","988"
"ShaunLivingston","GSW","34","G","6-7","192 lbs","No College","USA","2733"
"RonLivingstone","GSW","6","C","6-10","220 lbs","Wyoming","USA","77392"
"HoracioLlamas","PHX","54","C","6-11","285 lbs","Grand Canyon","USA","1024"
"EarlLloyd","PHI","17","F","6-6","200 lbs","West Virginia State","USA","77394"
"LewisLloyd","HOU","32","G","6-6","205 lbs","Drake","USA","77395"
"ScottLloyd","DAL","44","C","6-10","230 lbs","Arizona State","USA","77396"
"BobLochmueller","PHI","14","F","6-5","185 lbs","Louisville","USA","77397"
"RobertLock","LAC","44","F","6-9","225 lbs","Kentucky","USA","77398"
"DarrellLockhart","SAS","32","F","6-9","245 lbs","Auburn","USA","77399"
"IanLockhart","PHX","51","F","6-8","240 lbs","Tennessee","USA","1100"
"KevinLoder","SAC","9","F","6-6","205 lbs","Alabama State","USA","77401"
"DonLofgran","INO","8","F","6-5","200 lbs","San Francisco","USA","77402"
"ZachLofton","DET","18","G","6-4","180 lbs","New Mexico State","USA","1629155"
"KennethLofton Jr.","MEM","","F","6-7","275 lbs","Louisiana Tech","USA","1631254"
"JohnnyLogan","BOM","17","G","6-2","175 lbs","Indiana","USA","77403"
"BradLohaus","MIL","54","F-C","6-11","230 lbs","Iowa","USA","38"
"ArtLong","OKC","35","F","6-9","250 lbs","Cincinnati","USA","1609"
"GrantLong","MIA","43","F","6-9","250 lbs","Eastern Michigan","USA","3"
"JohnLong","DET","25","G","6-5","200 lbs","Detroit","USA","1381"
"PaulLong","DET","5","G","6-2","180 lbs","Wake Forest","USA","77406"
"ShawnLong","PHI","36","F","6-9","255 lbs","Louisiana-Lafayette","USA","1627848"
"LucLongley","CHI","13","C","7-2","260 lbs","New Mexico","USA","26"
"KevonLooney","GSW","5","F","6-9","222 lbs","UCLA","USA","1626172"
"BrookLopez","MIL","11","C","7-0","282 lbs","Stanford","USA","201572"
"FelipeLopez","MEM","13","G-F","6-5","195 lbs","St. John's","Dominican Republic","1732"
"RaulLopez","UTA","24","G","6-0","160 lbs","Real Madrid","Spain","2221"
"RobinLopez","CLE","33","C","7-0","281 lbs","Stanford","USA","201577"
"RyanLorthridge","GSW","9-33","G","6-4","190 lbs","Jackson State","USA","943"
"JimLoscutoff","BOS","18","F","6-5","220 lbs","Oregon","USA","77409"
"PlummerLott","OKC","43","F","6-5","210 lbs","Seattle","USA","77410"
"KevinLoughery","WAS","22","G","6-3","190 lbs","St. John's","USA","77411"
"DidiLouzada","POR","35","G","6-5","188 lbs","","Brazil","1629712"
"BobLove","CHI","10","F","6-8","215 lbs","Southern","USA","77412"
"KevinLove","CLE","0","F-C","6-8","251 lbs","UCLA","USA","201567"
"StanLove","WAS","34","F","6-9","215 lbs","Oregon","USA","77413"
"ClydeLovellette","LAL","34","C","6-9","234 lbs","Kansas","USA","77414"
"SidneyLowe","MIN","35","G","6-0","195 lbs","North Carolina State","USA","77415"
"ChuckLowery","MIL","6","G","6-3","185 lbs","Puget Sound","USA","77416"
"KyleLowry","MIA","7","G","6-0","196 lbs","Villanova","USA","200768"
"JordanLoyd","TOR","8","G","6-4","210 lbs","Indianapolis","USA","1628070"
"AlLucas","BOS","20","F","6-3","195 lbs","Fordham","USA","77417"
"JerryLucas","SAC","32","F","6-8","230 lbs","Ohio State","USA","77418"
"JohnLucas","HOU","10","G","6-3","175 lbs","Maryland","USA","77419"
"KalinLucas","MEM","24","G","6-1","195 lbs","Michigan State","USA","203564"
"MauriceLucas","POR","20","F","6-9","215 lbs","Marquette","USA","77420"
"JohnLucas III","TOR","9","G","5-11","166 lbs","Oklahoma State","USA","101249"
"TedLuckenbill","GSW","12","F","6-6","205 lbs","Houston","USA","77421"
"TyronnLue","ATL","10","G","6-0","175 lbs","Nebraska","USA","1731"
"JimLuisi","BAL","","G","6-2","180 lbs","St. Francis (NY)","USA","77422"
"AlLujack","WAS","","F","6-3","220 lbs","Georgetown","USA","77423"
"PhilLumpkin","POR","10","G","6-0","165 lbs","Miami (Ohio)","USA","77424"
"RayLumpp","NYK","7","G","6-1","178 lbs","New York University","USA","77425"
"GabrielLundberg","PHX","19","G","6-4","203 lbs","","Denmark","1630994"
"TimotheLuwawu-Cabarrot","ATL","7","G-F","6-7","215 lbs","Mega Basket","France","1627789"
"TylerLydon","DEN","20","F","6-10","225 lbs","Syracuse","USA","1628399"
"TreyLyles","SAC","41","F","6-9","234 lbs","Kentucky","Canada","1626168"
"GeorgeLynch","NOP","9","F","6-8","235 lbs","North Carolina","USA","248"
"KevinLynch","CHA","9","F","6-5","195 lbs","Minnesota","USA","77426"
"MikeLynn","LAL","25","F","6-7","215 lbs","UCLA","USA","77427"
"SheldonMac","WAS","9","G-F","6-6","200 lbs","Miami","USA","1627815"
"ToddMacCulloch","PHI","11","C","7-0","280 lbs","Washington","Canada","1928"
"RonnieMacGilvray","ATL","8","G","6-2","185 lbs","St. John's","USA","77430"
"DonMacLean","WAS","24","F","6-10","235 lbs","UCLA","USA","931"
"MikeMacaluso","LAC","21","F","6-5","210 lbs","Canisius","USA","77428"
"EdMacauley","BOS","22","C","6-8","185 lbs","St. Louis","USA","77429"
"ScottMachado","HOU","1","G","6-1","205 lbs","Iona","USA","203159"
"ArvydasMacijauskas","NOP","6","G","6-4","214 lbs","Tau Ceramica","Lithuania","101178"
"OllieMack","DAL","17","G","6-3","185 lbs","East Carolina","USA","77432"
"SamMack","HOU","7","G-F","6-7","220 lbs","Houston","USA","694"
"ShelvinMack","ATL","6","G","6-3","203 lbs","Butler","USA","202714"
"MalcolmMackey","PHX","27","F","6-9","248 lbs","Georgia Tech","USA","1635"
"RudyMacklin","ATL","41","F","6-7","205 lbs","Louisiana State","USA","77435"
"VernonMacklin","DET","20","F","6-10","227 lbs","Florida","USA","202731"
"JohnnyMacknowski","PHI","5","G","6-1","180 lbs","Seton Hall","USA","77436"
"DarylMacon","DAL","3","G","6-3","185 lbs","Arkansas","USA","1629133"
"MarkMacon","DEN","2","G","6-4","185 lbs","Temple","USA","1855"
"J.P.Macura","CHA","55","G","6-5","205 lbs","Xavier","USA","1629122"
"KyleMacy","PHX","44","G","6-3","175 lbs","Kentucky","USA","77438"
"JackMaddox","JET","","F","6-2","185 lbs","West Texas A&M","USA","77439"
"TitoMaddox","HOU","6","G","6-4","190 lbs","Fresno State","USA","2432"
"GeraldMadkins","CLE","12","G","6-4","200 lbs","UCLA","USA","1666"
"MarkMadsen","MIN","35","F","6-9","255 lbs","Stanford","USA","2058"
"NormMager","BAL","","F","6-5","185 lbs","City College of New York","USA","77441"
"JoshMagette","ATL","11","G","6-1","160 lbs","Alabama Huntsville","USA","203705"
"CoreyMaggette","LAC","50","F","6-6","225 lbs","Duke","USA","1894"
"DaveMagley","CLE","30","F","6-8","202 lbs","Kansas","USA","77442"
"JamaalMagloire","NOP","21","C","6-11","265 lbs","Kentucky","Canada","2048"
"WillMagnay","NOP","25","C","6-10","234 lbs","","Australia","1630266"
"IanMahinmi","IND","28","C","6-11","262 lbs","","France","101133"
"JohnMahnken","BOS","16","C","6-8","220 lbs","Georgetown","USA","77443"
"FrancisMahoney","BOS","19","F","6-2","205 lbs","Brown","USA","77444"
"RickMahorn","WAS","4","F","6-10","260 lbs","Hampton","USA","328"
"DanMajerle","PHX","9","G-F","6-6","222 lbs","Central Michigan","USA","105"
"RenaldoMajor","GSW","12","F","6-7","190 lbs","Fresno State","USA","200970"
"MakurMaker","WAS","","C","6-10","232 lbs","Howard","South Sudan","1630588"
"ThonMaker","MIL","7","F-C","7-0","221 lbs","Athlete Institute Prep","South Sudan","1627748"
"LionelMalamed","JET","","","","","City College of New York","USA","77447"
"TheoMaledon","OKC","11","G","6-4","175 lbs","Asvel","France","1630177"
"JeffMalone","WAS","25","G","6-4","205 lbs","Mississippi State","USA","117"
"KarlMalone","UTA","32","F","6-9","259 lbs","Louisiana Tech","USA","252"
"MosesMalone","HOU","24","C","6-10","215 lbs","Petersburg HS (VA)","USA","77449"
"MattMaloney","HOU","12","G","6-3","200 lbs","Pennsylvania","USA","1074"
"SteveMalovic","LAC","","F","6-10","230 lbs","San Diego State","USA","77450"
"SandroMamukelashvili","MIL","54","F-C","6-9","240 lbs","Seton Hall","Georgia","1630572"
"TedManakas","SAC","23","G","6-2","180 lbs","Princeton","USA","77451"
"JohnMandic","JET","","F","6-4","205 lbs","Oregon State","USA","77452"
"KarimMane","ORL","4","G","6-3","190 lbs","Vanier","Senegal","1630211"
"FrankMangiapane","NYK","5","G","5-10","195 lbs","New York University","USA","77453"
"MarcusMann","GSW","34","F","6-8","245 lbs","Mississippi Valley State","USA","986"
"TeranceMann","LAC","14","G-F","6-5","215 lbs","Florida State","USA","1629611"
"TreMann","OKC","23","G","6-3","178 lbs","Florida","USA","1630544"
"DannyManning","LAC","15","F-C","6-10","244 lbs","Kansas","USA","330"
"EdManning","WAS","35","F","6-7","210 lbs","Jackson State","USA","77454"
"RichardManning","MEM","50","C","6-11","245 lbs","Washington","USA","316"
"NicoMannion","GSW","2","G","6-2","190 lbs","Arizona","Italy","1630185"
"PaceMannion","UTA","5","G","6-7","190 lbs","Utah","USA","77456"
"NickMantis","WAS","23","G","6-3","190 lbs","Northwestern","USA","77457"
"PeteMaravich","UTA","7","G","6-5","197 lbs","Louisiana State","USA","77459"
"PeterMaravich","PIT","","G","6-0","185 lbs","Davis & Elkins","USA","77458"
"DevynMarble","ORL","11","F","6-6","200 lbs","Iowa","USA","203906"
"RoyMarble","ATL","5","G","6-6","190 lbs","Iowa","USA","77460"
"StephonMarbury","NYK","8","G","6-2","205 lbs","Georgia Tech","USA","950"
"SarunasMarciulionis","CLE","78","G","6-5","200 lbs","Statyba","Lithuania","36"
"SaulMariaschin","BOS","4","G","5-11","165 lbs","Harvard","USA","77462"
"JackMarin","WAS","24","F","6-6","200 lbs","Duke","USA","77463"
"ShawnMarion","PHX","31","G-F","6-7","228 lbs","UNLV","USA","1890"
"BobanMarjanovic","HOU","51","C","7-3","290 lbs","Crvena zvezda","Serbia","1626246"
"LauriMarkkanen","UTA","24","F-C","6-11","240 lbs","Arizona","Finland","1628374"
"DamirMarkota","MIL","52","F","6-10","225 lbs","Cibona","Croatia","200806"
"SeanMarks","NOP","4","F-C","6-10","250 lbs","California","New Zealand","1752"
"HarveyMarlatt","DET","26","G","6-3","185 lbs","Eastern Michigan","USA","77464"
"EricMarsh","GSW","21","G","6-3","200 lbs","Manhattan","USA","77465"
"JimMarsh","POR","41","F","6-7","215 lbs","Southern California","USA","77466"
"DonnyMarshall","CLE","13","F","6-7","230 lbs","Connecticut","USA","681"
"DonyellMarshall","GSW","8","F","6-9","245 lbs","Connecticut","USA","923"
"KendallMarshall","LAL","5","G","6-4","200 lbs","North Carolina","USA","203088"
"NajiMarshall","NOP","8","F","6-7","220 lbs","Xavier","USA","1630230"
"RawleMarshall","IND","2","G-F","6-7","190 lbs","Oakland","USA","101185"
"TomMarshall","SAC","20","F","6-4","215 lbs","Western Kentucky","USA","77467"
"VesterMarshall","OKC","45","F","6-7","200 lbs","Oklahoma","USA","77468"
"BillMartin","IND","26","F","6-7","205 lbs","Georgetown","USA","77481"
"BobMartin","LAC","42","C","7-0","250 lbs","Minnesota","USA","77478"
"BrianMartin","POR","35","F","6-9","212 lbs","Kansas","USA","77469"
"CalebMartin","MIA","16","F","6-5","205 lbs","Nevada-Reno","USA","1628997"
"CartierMartin","WAS","35","F","6-7","220 lbs","Kansas State","USA","201858"
"CodyMartin","CHA","11","F","6-6","205 lbs","Nevada-Reno","USA","1628998"
"CuonzoMartin","MEM","40","G-F","6-6","215 lbs","Purdue","USA","733"
"DarrickMartin","LAC","2","G","5-11","170 lbs","UCLA","USA","239"
"DonMartin","BOM","","C","6-7","210 lbs","Central Missouri","USA","77473"
"DonaldMartin","PRO","","G","5-8","160 lbs","Georgetown","USA","77471"
"FernandoMartin","POR","10","C","6-9","220 lbs","Real Madrid","Spain","77472"
"JarellMartin","MEM","2","F","6-10","239 lbs","Louisiana State","USA","1626185"
"JeffMartin","LAC","15","G","6-5","195 lbs","Murray State","USA","77474"
"JeremiahMartin","CLE","3","G","6-2","185 lbs","Memphis","USA","1629725"
"KelanMartin","BOS","21","F","6-5","230 lbs","Butler","USA","1629103"
"KenyonMartin","DEN","3","F","6-9","225 lbs","Cincinnati","USA","2030"
"KevinMartin","SAC","23","G","6-7","199 lbs","Western Carolina","USA","2755"
"LarueMartin","POR","35","C","6-11","208 lbs","Loyola-Chicago","USA","77475"
"MoMartin","DEN","11","G","6-6","200 lbs","St. Joseph's (PA)","USA","77476"
"PhilMartin","ATL","6","G","6-3","190 lbs","Toledo","USA","77477"
"RonaldMartin","NYK","7","G","6-2","185 lbs","St. Bonaventure","USA","77479"
"SlaterMartin","LAL","22","G","5-10","170 lbs","Texas-Austin","USA","77480"
"TyreseMartin","ATL","","G","6-6","215 lbs","Connecticut","USA","1631213"
"KenyonMartin Jr.","HOU","6","F","6-5","215 lbs","IMG Academy (FL)","USA","1630231"
"JamalMashburn","DAL","24","F","6-8","247 lbs","Kentucky","USA","469"
"AlMasino","ATL","12","G","5-10","174 lbs","Canisius","USA","77482"
"AnthonyMason","NYK","17","F","6-8","255 lbs","Tennessee State","USA","193"
"DesmondMason","MIL","34","G-F","6-5","222 lbs","Oklahoma State","USA","2046"
"FrankMason III","SAC","15","G","5-11","190 lbs","Kansas","USA","1628412"
"RogerMason Jr.","WAS","8","G","6-5","205 lbs","Virginia","USA","2427"
"TonyMassenburg","MEM","34","F-C","6-9","250 lbs","Maryland","USA","763"
"EddieMast","NYK","25","F","6-9","220 lbs","Temple","USA","77483"
"YanteMaten","MIA","00","F","6-8","240 lbs","Georgia","USA","1628999"
"GarrisonMathews","HOU","25","G","6-5","215 lbs","Lipscomb","USA","1629726"
"MangokMathiang","CHA","9","F-C","6-10","230 lbs","Louisville","Australia","1628493"
"DakotaMathias","MEM","33","G","6-4","200 lbs","Purdue","USA","1629751"
"BennedictMathurin","IND","00","G-F","6-7","210 lbs","Arizona","USA","1631097"
"KarloMatkovic","NOP","","F-C","6-10","231 lbs","Mega Basket","Bosnia and Herzegovina","1631255"
"WesMatthews","ATL","1","G","6-1","170 lbs","Wisconsin","USA","77484"
"WesleyMatthews","MIL","23","G","6-4","220 lbs","Marquette","USA","202083"
"ArielMaughan","BOM","","F","6-4","190 lbs","Utah State","USA","77485"
"MarlonMaxey","MIN","25","F","6-8","250 lbs","Texas-El Paso","USA","77486"
"TyreseMaxey","PHI","0","G","6-2","200 lbs","Kentucky","USA","1630178"
"JasonMaxiell","DET","54","F","6-7","260 lbs","Cincinnati","USA","101131"
"CedricMaxwell","BOS","31","F","6-8","205 lbs","North Carolina-Charlotte","USA","77487"
"VernonMaxwell","HOU","3","G","6-4","190 lbs","Florida","USA","137"
"DonMay","ATL","23","F","6-4","200 lbs","Dayton","USA","77489"
"ScottMay","CHI","24","F","6-6","215 lbs","Indiana","USA","77490"
"SeanMay","CHA","42","C-F","6-9","266 lbs","North Carolina","USA","101118"
"LeeMayberry","MIL","11","G","6-1","180 lbs","Arkansas","USA","195"
"ClydeMayes","MIL","22","F","6-8","225 lbs","Furman","USA","77492"
"TharonMayes","PHI","8","G","6-3","175 lbs","Florida State","USA","77493"
"BillMayfield","GSW","36","F","6-7","205 lbs","Iowa","USA","77495"
"KenMayfield","NYK","16","G","6-2","185 lbs","Tuskegee","USA","77494"
"EricMaynor","OKC","6","G","6-3","175 lbs","Va Commonwealth","USA","201953"
"O.J.Mayo","MEM","3","G","6-5","210 lbs","Southern California","USA","201564"
"SkylarMays","ATL","4","G","6-4","205 lbs","Louisiana State","USA","1630219"
"TravisMays","SAC","1","G","6-2","190 lbs","Texas-Austin","USA","77496"
"MattMazza","SHE","","F","6-3","210 lbs","Michigan State","USA","77497"
"LucMbah a Moute","MIL","12","F","6-8","230 lbs","UCLA","Cameroon","201601"
"DJMbenga","LAL","28","C","7-0","255 lbs","Spirou Charleroi","Belgium","2788"
"BobMcAdoo","LAC","11","C","6-9","210 lbs","North Carolina","USA","77498"
"James MichaelMcAdoo","GSW","20","F","6-9","240 lbs","North Carolina","USA","203949"
"KenMcBride","ATL","4","F","6-3","190 lbs","Maryland-Eastern Shore","USA","77499"
"MilesMcBride","NYK","2","G","6-1","195 lbs","West Virginia","USA","1630540"
"TahjereMcCall","BKN","6","G","6-5","190 lbs","Tennessee State","USA","1628769"
"RayMcCallum","SAC","3","G","6-3","190 lbs","Detroit","USA","203492"
"BobMcCann","MIN","55","F","6-7","245 lbs","Morehead State","USA","737"
"BrendanMcCann","NYK","3","G","6-2","178 lbs","St. Bonaventure","USA","77500"
"MelMcCants","LAL","49","F","6-8","240 lbs","Purdue","USA","77502"
"RashadMcCants","MIN","7","G","6-4","215 lbs","North Carolina","USA","101119"
"MikeMcCarron","HUS","","G","5-11","180 lbs","Seton Hall","USA","77503"
"AndreMcCarter","SAC","33","G","6-3","190 lbs","UCLA","USA","77504"
"WillieMcCarter","LAL","17","G","6-3","175 lbs","Drake","USA","77505"
"JohnnyMcCarthy","ATL","21","G","6-1","185 lbs","Canisius","USA","77506"
"HowieMcCarty","DEF","","","","","Wayne State","USA","77507"
"KellyMcCarty","DEN","11","G-F","6-7","200 lbs","Southern Mississippi","USA","1820"
"WalterMcCarty","BOS","0","F","6-10","245 lbs","Kentucky","USA","962"
"AmalMcCaskill","PHI","00","C","6-11","235 lbs","Marquette","USA","1043"
"PatrickMcCaw","GSW","22","G","6-7","181 lbs","UNLV","USA","1627775"
"DwayneMcClain","IND","44","G","6-6","185 lbs","Villanova","USA","77509"
"Ted, Hound DogMcClain","DEN","12","G","6-1","180 lbs","Tennessee State","USA","77510"
"DanMcClintock","DEN","50","C","7-0","270 lbs","Northern Arizona","USA","2082"
"JackMcCloskey","GSW","","G","6-2","190 lbs","Pennsylvania","USA","77512"
"GeorgeMcCloud","IND","21","F","6-8","230 lbs","Florida State","USA","45"
"MacMcClung","GSW","37","G","6-2","185 lbs","Texas Tech","USA","1630644"
"CJMcCollum","NOP","3","G","6-3","190 lbs","Lehigh","USA","203468"
"JohnMcConathy","ATL","15","F","6-5","195 lbs","Northwestern State","USA","77513"
"PaulMcConnell","ATL","","G","5-10","170 lbs","Marshall","USA","77514"
"T.J.McConnell","IND","9","G","6-1","190 lbs","Arizona","USA","204456"
"KeithMcCord","WAS","22","G","6-7","210 lbs","Alabama-Birmingham","USA","77515"
"TimMcCormick","OKC","44","C","6-11","240 lbs","Michigan","USA","77516"
"JavanteMcCoy","LAL","","G","6-5","180 lbs","Boston University","USA","1631322"
"JelaniMcCoy","OKC","42","F","6-10","255 lbs","UCLA","USA","1741"
"PaulMcCracken","HOU","7","G","6-4","180 lbs","California State-Northridge","USA","77517"
"ChrisMcCray","MIL","12","G","6-5","192 lbs","Maryland","USA","200840"
"RodneyMcCray","HOU","22","F","6-8","220 lbs","Louisville","USA","1622"
"ScooterMcCray","OKC","20","F","6-9","215 lbs","Louisville","USA","77518"
"ErikMcCree","UTA","21","F","6-8","225 lbs","Louisiana Tech","USA","1628571"
"ChrisMcCullough","BKN","1","F","6-9","215 lbs","Syracuse","USA","1626191"
"JohnMcCullough","PHX","8","G","6-4","190 lbs","Oklahoma","USA","77520"
"ClintMcDaniel","SAC","20","G","6-4","180 lbs","Arkansas","USA","723"
"XavierMcDaniel","OKC","34","F","6-7","218 lbs","Wichita State","USA","1365"
"JadenMcDaniels","MIN","3","F","6-9","185 lbs","Washington","USA","1630183"
"JalenMcDaniels","CHA","6","F-C","6-9","205 lbs","San Diego State","USA","1629667"
"JimMcDaniels","OKC","44","C","6-11","228 lbs","Western Kentucky","USA","77523"
"KJMcDaniels","HOU","14","G-F","6-6","205 lbs","Clemson","USA","203909"
"DougMcDermott","SAS","17","F","6-7","225 lbs","Creighton","USA","203926"
"SeanMcDermott","MEM","30","F","6-6","195 lbs","Butler","USA","1630253"
"BenMcDonald","GSW","30","F","6-8","210 lbs","California-Irvine","USA","77524"
"GlennMcDonald","BOS","13","F","6-6","190 lbs","Long Beach State","USA","77525"
"MichaelMcDonald","CHA","42","C","6-10","232 lbs","New Orleans","USA","1075"
"HankMcDowell","LAC","41","F","6-9","215 lbs","Memphis","USA","77527"
"AntonioMcDyess","DET","34","F-C","6-9","245 lbs","Alabama","USA","686"
"JimMcElroy","UTA","33","G","6-3","190 lbs","Central Michigan","USA","77528"
"IvanMcFarlin","PHI","","F","6-7","229 lbs","Oklahoma State","USA","200829"
"MelMcGaha","NYK","8","G","6-1","190 lbs","Arkansas","USA","77529"
"MitchMcGary","OKC","33","F","6-10","255 lbs","Michigan","USA","203956"
"JaValeMcGee","DAL","00","C-F","7-0","270 lbs","Nevada-Reno","USA","201580"
"MikeMcGee","LAL","40","F","6-5","190 lbs","Michigan","USA","77530"
"BillMcGill","NYK","40","C","6-9","225 lbs","Utah","USA","77531"
"GeorgeMcGinnis","PHI","30","F","6-8","235 lbs","Indiana","USA","77532"
"JonMcGlocklin","MIL","14","G","6-5","205 lbs","Indiana","USA","77533"
"BryceMcGowens","CHA","","G","6-6","175 lbs","Nebraska","USA","1631121"
"TracyMcGrady","HOU","1","G-F","6-8","225 lbs","Mount Zion Christian Academy (NC)","USA","1503"
"GilMcGregor","SAC","25","F","6-8","240 lbs","Wake Forest","USA","77534"
"CameronMcGriff","POR","","F","6-7","220 lbs","Oklahoma State","USA","1630787"
"RodneyMcGruder","DET","17","G","6-4","205 lbs","Kansas State","USA","203585"
"AlMcGuire","NYK","16","G","6-2","180 lbs","St. John's","USA","77536"
"AllieMcGuire","NYK","16","G","6-3","175 lbs","Marquette","USA","77535"
"DickMcGuire","NYK","15","G","6-0","180 lbs","St. John's","USA","77537"
